,AMD,CELG,RMD,ARNC,M,NVDA,XLNX,FCX,NKTR,LRCX,LYFT,UBER,SFIX,CRM,SQ,BYND,PINS,SPOT,Values
1999-12-03,0.10020715827714334,0.10194738386263509,0.09856188417604032,0.10211007664779471,0.10004113748583232,0.09856188417604032,0.09742603369276392,0.09836627538909004,0.09888876360929019,0.10388940268336966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0
1999-12-10,0.09944323111215395,0.09700528472866841,0.10124027258492702,0.10546544374168099,0.10129154076985498,0.09866645811511818,0.09390445906329953,0.09865697352071714,0.0995760181527195,0.10475031821086048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10500929.280619692
1999-12-17,0.09944323111215395,0.09700528472866841,0.10124027258492702,0.10546544374168099,0.10129154076985498,0.09866645811511818,0.09390445906329953,0.09865697352071714,0.0995760181527195,0.10475031821086048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10437896.44478474
1999-12-23,0.09809319982918017,0.09752142394076473,0.10005940019180119,0.10446481819831425,0.10012712983458985,0.0999818700090059,0.0945483086738135,0.0971107100706022,0.09917974882254366,0.10891339042938465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10946449.628111012
1999-12-31,0.0984461405622678,0.09787267355527378,0.10047110636450955,0.10533026862585976,0.10062742294312081,0.10024677472354393,0.08998342866423102,0.09790298720858259,0.09941346904848965,0.1097057283041208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11761630.934816284
2000-01-07,0.0984461405622678,0.09787267355527378,0.10047110636450955,0.10533026862585976,0.10062742294312081,0.10024677472354393,0.08998342866423102,0.09790298720858259,0.09941346904848965,0.1097057283041208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11757028.724137578
2000-01-14,0.0984461405622678,0.09787267355527378,0.10047110636450955,0.10533026862585976,0.10062742294312081,0.10024677472354393,0.08998342866423102,0.09790298720858259,0.09941346904848965,0.1097057283041208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11594351.882234298
2000-01-21,0.0963436820286841,0.09760789516910982,0.10465300030563555,0.10163980056359202,0.09811263892641127,0.09917804925058968,0.08838997700394584,0.09641696835160028,0.10355025109664398,0.11410773730378748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12382220.20224993
2000-01-28,0.09733794631089727,0.10092906102755976,0.10350393331223896,0.1015098741305368,0.09900099437802232,0.09850478627307906,0.08868866008155558,0.09764130863521985,0.10296029276923352,0.10992314308165684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12913022.392919468
2000-02-04,0.09733794631089727,0.10092906102755976,0.10350393331223896,0.1015098741305368,0.09900099437802232,0.09850478627307906,0.08868866008155558,0.09764130863521985,0.10296029276923352,0.10992314308165684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11688814.738203883
2000-02-11,0.09752954542939038,0.1054006207078319,0.1030261169461988,0.10005611280783139,0.09760947223188671,0.09906987228794764,0.08764594902399131,0.09663046365428381,0.10378227023712674,0.10924957667351133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13210191.662563719
2000-02-18,0.09528967506066574,0.10909293014421378,0.10109686737581712,0.10039691517036534,0.09500540392157954,0.10204443081938237,0.08831391697323776,0.09487011850977925,0.107408661196488,0.1064810808284711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14288110.342026193
2000-02-25,0.09527495050261348,0.11241754725118436,0.10640822368931761,0.09768073413441976,0.09417025744648551,0.09979389303976988,0.0898156298183518,0.09286695753907488,0.10507327196182772,0.10649853461695517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15354579.820631754
2000-03-03,0.09527495050261348,0.11241754725118436,0.10640822368931761,0.09768073413441976,0.09417025744648551,0.09979389303976988,0.0898156298183518,0.09286695753907488,0.10507327196182772,0.10649853461695517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15337967.317127185
2000-03-10,0.0950955435699902,0.11100583355422998,0.1054138171305237,0.09688249654508257,0.0934366173304541,0.10442699535015307,0.0891558493446441,0.09214867256088626,0.1057245857497062,0.10670958886432971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16569909.715616073
