,AMD,CELG,RMD,ARNC,M,NVDA,XLNX,FCX,NKTR,LRCX,LYFT,UBER,SFIX,CRM,SQ,BYND,PINS,SPOT,Values
1999-12-03,0.0005645132478352111,0.9955064881205553,0.0009628973817202687,0.00017388303781019673,6.107479123646036e-05,0.0016749084733178774,0.00028368939758410203,0.0002121290503117716,4.544775343683212e-05,0.0005149687461918593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0
1999-12-10,0.0005886002701496396,0.9952524199800094,0.0010391880707144542,0.00018869858311876261,6.497202243826136e-05,0.0017616574268649358,0.00028729239922533744,0.00022353809584587514,4.808283510866848e-05,0.0005455503165245716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11196423.141515177
1999-12-17,0.0005886002701496396,0.9952524199800094,0.0010391880707144542,0.00018869858311876261,6.497202243826136e-05,0.0017616574268649358,0.00028729239922533744,0.00022353809584587514,4.808283510866848e-05,0.0005455503165245716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9782807.166096438
1999-12-23,0.0005775391404850211,0.9952568421441513,0.0010216356341429548,0.00018591986621679016,6.38854952669801e-05,0.0017757035646114533,0.00028773253752798075,0.00021887097813590625,4.763822879776756e-05,0.0005642324106639407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10966454.863181882
1999-12-31,0.0005775439587724355,0.9952688686383725,0.0010221700500723206,0.000186789632244271,6.397505666668969e-05,0.0017740401717583154,0.0002728610703937054,0.000219867390563359,4.757969574378927e-05,0.0005663043354125621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12266140.669173632
2000-01-07,0.0006178453784016684,0.9950955947415083,0.001068604364580569,0.00019895950446523994,6.764371888727396e-05,0.0018117415347025387,0.00028338547643554394,0.00022977066343238332,5.106773292561953e-05,0.0005753868846607921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12332026.476690318
2000-01-14,0.0006178453784016684,0.9950955947415083,0.001068604364580569,0.00019895950446523994,6.764371888727396e-05,0.0018117415347025387,0.00028338547643554394,0.00022977066343238332,5.106773292561953e-05,0.0005753868846607921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10663981.65904705
2000-01-21,0.000606270390858245,0.9950623871891661,0.0011160649100981498,0.000192502916717251,6.612993465768632e-05,0.0017972289468776393,0.0002791130121498208,0.00022688935365933712,5.333527234254593e-05,0.0006000780734733717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11084637.101618435
2000-01-28,0.0005924883874834581,0.9952590625608169,0.0010676998194377642,0.0001859671966359199,6.454568860456834e-05,0.0017266317446419837,0.00027089419676167335,0.0002222535889658658,5.1296493009452745e-05,0.0005591603236423393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11636627.43098608
2000-02-04,0.0005673450738471335,0.9954178835289074,0.0010429977004306808,0.00017700609811776527,6.098275648882085e-05,0.0016519351829985339,0.00026787854142007326,0.00021161677598263134,4.9989163665308335e-05,0.000552365178141616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12680975.900014738
