,AMD,CELG,RMD,ARNC,M,NVDA,XLNX,FCX,NKTR,LRCX,LYFT,UBER,SFIX,CRM,SQ,BYND,PINS,SPOT,Values
1999-11-22,0.10007971169485534,0.1022589318514603,0.0994373726202624,0.10015007942673029,0.09955410210114697,0.09950556082061908,0.0993788366309151,0.09961235786501337,0.09965158943234186,0.10037145755665544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0
1999-11-23,0.10007971169485534,0.1022589318514603,0.0994373726202624,0.10015007942673029,0.09955410210114697,0.09950556082061908,0.0993788366309151,0.09961235786501337,0.09965158943234186,0.10037145755665544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9980435.745104901
1999-11-24,0.10007971169485534,0.1022589318514603,0.0994373726202624,0.10015007942673029,0.09955410210114697,0.09950556082061908,0.0993788366309151,0.09961235786501337,0.09965158943234186,0.10037145755665544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9970845.284366377
1999-11-26,0.10077742868594572,0.10029130432963386,0.09907355684494923,0.10079482844649668,0.10088222945008012,0.10012823016292056,0.09880462430629448,0.09981235537248927,0.09900465198554596,0.10043079041564405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10018695.364859303
1999-11-29,0.10077742868594572,0.10029130432963386,0.09907355684494923,0.10079482844649668,0.10088222945008012,0.10012823016292056,0.09880462430629448,0.09981235537248927,0.09900465198554596,0.10043079041564405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9957426.089829788
1999-11-30,0.10053134146157988,0.10097675830726299,0.099312309549295,0.10125018851013351,0.10155086610053557,0.09958845484929481,0.09668917553608922,0.1001158366974953,0.09882553285642695,0.10115953613188675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10162245.594322849
1999-12-01,0.10053134146157988,0.10097675830726299,0.099312309549295,0.10125018851013351,0.10155086610053557,0.09958845484929481,0.09668917553608922,0.1001158366974953,0.09882553285642695,0.10115953613188675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10046480.588438299
1999-12-02,0.10114999866494519,0.09929108620099097,0.09847398151861819,0.10185681549302492,0.10085454374947968,0.10020181539324982,0.09832761106841302,0.0994293541743614,0.09802242990535388,0.10239236383156299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10236618.045654178
1999-12-03,0.10186681158414405,0.09972595486900963,0.09880531185876022,0.10253755568152335,0.10061375259629467,0.10011501730726445,0.096228994806353,0.09973025587048086,0.09802057006070239,0.10235577536546742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10580411.394261608
1999-12-06,0.10186681158414405,0.09972595486900963,0.09880531185876022,0.10253755568152335,0.10061375259629467,0.10011501730726445,0.096228994806353,0.09973025587048086,0.09802057006070239,0.10235577536546742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10481878.46790083
1999-12-07,0.10275418817136985,0.09768210292852354,0.10026013214497739,0.10305097751133285,0.10015094533260338,0.09935316611317456,0.09458745285119477,0.10047017625588892,0.09866360673896189,0.10302725195197295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10667074.956168413
1999-12-08,0.10275418817136985,0.09768210292852354,0.10026013214497739,0.10305097751133285,0.10015094533260338,0.09935316611317456,0.09458745285119477,0.10047017625588892,0.09866360673896189,0.10302725195197295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10568471.02873784
1999-12-09,0.10275418817136985,0.09768210292852354,0.10026013214497739,0.10305097751133285,0.10015094533260338,0.09935316611317456,0.09458745285119477,0.10047017625588892,0.09866360673896189,0.10302725195197295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10550801.082634
1999-12-10,0.10275418817136985,0.09768210292852354,0.10026013214497739,0.10305097751133285,0.10015094533260338,0.09935316611317456,0.09458745285119477,0.10047017625588892,0.09866360673896189,0.10302725195197295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10457173.026674315
