,AMD,CELG,RMD,ARNC,M,NVDA,XLNX,FCX,NKTR,LRCX,LYFT,UBER,SFIX,CRM,SQ,BYND,PINS,SPOT,Values
1999-11-22,0.000574251299282023,0.9953930494961004,0.000995858428064696,0.00017358620608615112,6.223145636719776e-05,0.0017322424497724343,0.00029682103648675276,0.00021982673774910633,4.684810923862166e-05,0.0005052847808526503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0
1999-11-23,0.0005624866058206194,0.9955322669439557,0.0009681532823349249,0.00016983383625391278,6.072375902153568e-05,0.0016636696064949025,0.0002894208042016219,0.00021334291721739895,4.564013161817905e-05,0.0004944621130812276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0
1999-11-24,0.0005710812470976868,0.9954522896820862,0.0010029662133308188,0.00017189437693156088,6.153380816205808e-05,0.001693815035910975,0.00029047248263764497,0.00021656563608595818,4.5810868125861755e-05,0.0004935706496312175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11793877.777030129
1999-11-26,0.0005710812470976868,0.9954522896820862,0.0010029662133308188,0.00017189437693156088,6.153380816205808e-05,0.001693815035910975,0.00029047248263764497,0.00021656563608595818,4.5810868125861755e-05,0.0004935706496312175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11163149.618754797
1999-11-29,0.0005710812470976868,0.9954522896820862,0.0010029662133308188,0.00017189437693156088,6.153380816205808e-05,0.001693815035910975,0.00029047248263764497,0.00021656563608595818,4.5810868125861755e-05,0.0004935706496312175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10756075.49209591
1999-11-30,0.0005710812470976868,0.9954522896820862,0.0010029662133308188,0.00017189437693156088,6.153380816205808e-05,0.001693815035910975,0.00029047248263764497,0.00021656563608595818,4.5810868125861755e-05,0.0004935706496312175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10304346.310160208
1999-12-01,0.0005560913899558143,0.9955374718080235,0.0009963385201064816,0.00017111186232064162,6.148765850294403e-05,0.0016408143706780596,0.0002813134765498637,0.00021551995076637894,4.5061288124681036e-05,0.00049478967497138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10620385.088738093
1999-12-02,0.0005413940642925594,0.9956039492197543,0.0009774110573620397,0.00016830127394028467,5.959264067297921e-05,0.001627370601178671,0.0002743806140524356,0.00021096616205300083,4.3680970608602384e-05,0.0004929533960854539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10844838.281779211
1999-12-03,0.0005582849447140654,0.9954929505437325,0.0009848218503438193,0.000172067067969375,6.094769584970985e-05,0.001683606681159291,0.0002838166161539512,0.00021314796129380458,4.4349019278502085e-05,0.0005060076195051121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11749767.189996801
1999-12-06,0.0005582849447140654,0.9954929505437325,0.0009848218503438193,0.000172067067969375,6.094769584970985e-05,0.001683606681159291,0.0002838166161539512,0.00021314796129380458,4.4349019278502085e-05,0.0005060076195051121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11345828.683427254
1999-12-07,0.0005596881093156198,0.9954455186410177,0.00099337401408598,0.0001732377487460433,6.129888176244303e-05,0.001703746478034171,0.00028497929124463733,0.00021416702682637627,4.455265065237073e-05,0.0005194371583147218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11537413.869578186
1999-12-08,0.0005596881093156198,0.9954455186410177,0.00099337401408598,0.0001732377487460433,6.129888176244303e-05,0.001703746478034171,0.00028497929124463733,0.00021416702682637627,4.455265065237073e-05,0.0005194371583147218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11437124.145561153
1999-12-09,0.0005596881093156198,0.9954455186410177,0.00099337401408598,0.0001732377487460433,6.129888176244303e-05,0.001703746478034171,0.00028497929124463733,0.00021416702682637627,4.455265065237073e-05,0.0005194371583147218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10578320.347286891
1999-12-10,0.0005596881093156198,0.9954455186410177,0.00099337401408598,0.0001732377487460433,6.129888176244303e-05,0.001703746478034171,0.00028497929124463733,0.00021416702682637627,4.455265065237073e-05,0.0005194371583147218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10375600.455341212
1999-12-13,0.0005596881093156198,0.9954455186410177,0.00099337401408598,0.0001732377487460433,6.129888176244303e-05,0.001703746478034171,0.00028497929124463733,0.00021416702682637627,4.455265065237073e-05,0.0005194371583147218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10036535.735312978
1999-12-14,0.0005730884522906112,0.995422102174851,0.0009803879990245162,0.00017309768313514295,6.15736654796035e-05,0.0017117989846903538,0.00028825306980623813,0.0002189489768869313,4.3874419967935144e-05,0.0005268745738675285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10080593.88213632
1999-12-15,0.0005730884522906112,0.995422102174851,0.0009803879990245162,0.00017309768313514295,6.15736654796035e-05,0.0017117989846903538,0.00028825306980623813,0.0002189489768869313,4.3874419967935144e-05,0.0005268745738675285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10081093.120193163
1999-12-16,0.0005732484123605607,0.9954244087510669,0.0009773485976489354,0.00017396420947242303,6.155811117302353e-05,0.001707019219142572,0.0002897323930792079,0.00022060730951333594,4.4895672562538915e-05,0.0005272173239806263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10508594.993601764
1999-12-17,0.0005793795723883155,0.9954605109523039,0.0009518692846458198,0.00017094965127271115,6.099296216322881e-05,0.0016921934577025395,0.000290362301521409,0.00021930353542129255,4.526453827624107e-05,0.0005291737443043717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10576451.862340087
1999-12-20,0.000563195822859982,0.9954973835995548,0.0009436741448928256,0.00016988510464336777,6.164712498754598e-05,0.001695849115541307,0.00028096333561384104,0.00021741543676101073,4.3965333423748656e-05,0.0005260209817215169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11074375.963147417
1999-12-21,0.0005644363479357015,0.9954681389094996,0.0009463056617865233,0.00016906691411928723,6.13217452473867e-05,0.0017128107997493075,0.00028061666657527916,0.0002157970186666031,4.422545596052597e-05,0.0005372804804599846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11300337.74025498
