,AMD,CELG,RMD,ARNC,M,NVDA,XLNX,FCX,NKTR,LRCX,LYFT,UBER,SFIX,CRM,SQ,BYND,PINS,SPOT,Values
1999-12-03,0.0005742669179164357,0.995420122452063,0.0009958855136781445,0.00017359092732839354,6.223314895434067e-05,0.001732289563747746,0.00028120334813776097,0.0002082602210305573,4.684938342553606e-05,0.0005052985237179713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0
1999-12-10,0.0005742033553499812,0.9953099446658987,0.0010511080073679771,0.00018321665614695983,6.568401717988268e-05,0.0017320978257822134,0.00028117222322712173,0.00021980838453303388,4.94472119359981e-05,0.0005333176525779133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11196423.141515177
1999-12-17,0.0005742033553499812,0.9953099446658987,0.0010511080073679771,0.00018321665614695983,6.568401717988268e-05,0.0017320978257822134,0.00028117222322712173,0.00021980838453303388,4.94472119359981e-05,0.0005333176525779133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9782950.96164546
1999-12-23,0.0005742099996571841,0.9953214617442524,0.0010511201701051667,0.00018321877621076092,6.568477723254417e-05,0.0017321178684899978,0.00028117547676893866,0.00020823957939357184,4.9447784106925645e-05,0.0005333238237823959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10966663.216432078
1999-12-31,0.0005742723583983092,0.9954295528492597,0.0010512343209047315,0.00018323867362153714,6.569191054617812e-05,0.0016411134373304737,0.0002664026863111668,0.00020826219404331873,4.684982726656776e-05,0.0005333817423179195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12266339.270682737
2000-01-07,0.0006061539205609236,0.9953814295019219,0.0010511834997148104,0.00019341143412136976,6.93388921552185e-05,0.0016410340988461587,0.00026638980725913504,0.00020825212575282785,4.945076331801331e-05,0.000533355956349665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12332228.340274775
2000-01-14,0.0006061539205609236,0.9953814295019219,0.0010511834997148104,0.00019341143412136976,6.93388921552185e-05,0.0016410340988461587,0.00026638980725913504,0.00020825212575282785,4.945076331801331e-05,0.000533355956349665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10664081.547346039
2000-01-21,0.0005742852132646455,0.9954518351577532,0.0010512578523815398,0.0001832427753489189,6.569338103438305e-05,0.001641150173024907,0.00025238429066295885,0.0001973032135799872,4.945426108612468e-05,0.0005333936818635086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11084636.688040173
2000-01-28,0.0005441838213782362,0.9956902290587596,0.0009961557465684493,0.000173638031114299,6.225003587907621e-05,0.0015551286224754137,0.00023915546591918435,0.00018696148578473885,4.686209597544084e-05,0.0005054356361457108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11636617.929316923
2000-02-04,0.0005441856046656878,0.9956934919302772,0.0009961590109654654,0.00017363860012519172,5.897324525821937e-05,0.0015551337186235333,0.00023915624963035802,0.00018696209845652079,4.6862249542276945e-05,0.0005054372924555682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12682070.471363623
