Name,Market Cap
BK,45054000000
CI,74625000000
JPM,4.11E+11
DD,48393000000
CL,58002000000
HIG,22404000000
AFL,40030000000
DOX,9413000000
BCE,43196000000
BRK-B,5.34E+11
KO,2.30E+11
HON,1.28E+11
L,15149000000
PEP,1.89E+11
RSG,28204000000
PG,3.05E+11
WMT,3.38E+11
SYY,41012000000
WU,11511000000
AMD,44422000000
CELG,7.70E+13
RMD,77036000000
ARNC,13428000000
M,4814000000
NVDA,1.34E+11
XLNX,22961000000
FCX,17005000000
NKTR,3624000000
LRCX,39087000000
LYFT,14739000000
UBER,50987000000
SFIX,2381000000
CRM,1.42E+11
SQ,29268000000
BYND,4848000000
PINS,10855000000
SPOT,25108000000
