,AMD,CELG,RMD,ARNC,M,NVDA,XLNX,FCX,NKTR,LRCX,LYFT,UBER,SFIX,CRM,SQ,BYND,PINS,SPOT,Values
1999-11-22,0.0005619219427090968,0.9955099123172894,0.0009682292705215599,0.00016997898474260153,6.0575666542833685e-05,0.0016853333621186272,0.00028841691073998625,0.00021410267541131157,4.5646160921095395e-05,0.0004958827090036348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0
1999-11-23,0.0005678623130803632,0.9954693201396451,0.0009812679849627369,0.00017202047363587742,6.120125656200177e-05,0.0017104869058122765,0.0002866135940619905,0.00021641502385459798,4.5913059123837274e-05,0.0004888992492613914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11793877.777030129
1999-11-24,0.0005678623130803632,0.9954693201396451,0.0009812679849627369,0.00017202047363587742,6.120125656200177e-05,0.0017104869058122765,0.0002866135940619905,0.00021641502385459798,4.5913059123837274e-05,0.0004888992492613914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11163170.813211
1999-11-26,0.0005678623130803632,0.9954693201396451,0.0009812679849627369,0.00017202047363587742,6.120125656200177e-05,0.0017104869058122765,0.0002866135940619905,0.00021641502385459798,4.5913059123837274e-05,0.0004888992492613914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10756084.217237439
1999-11-29,0.0005678623130803632,0.9954693201396451,0.0009812679849627369,0.00017202047363587742,6.120125656200177e-05,0.0017104869058122765,0.0002866135940619905,0.00021641502385459798,4.5913059123837274e-05,0.0004888992492613914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10304347.964649556
1999-11-30,0.00056265483284916,0.9955088002755988,0.00097698572155018,0.00017163021955007938,6.119106508378275e-05,0.0016898236812573607,0.00027866304607115304,0.00021560616407726246,4.55207377772394e-05,0.000489124256184962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10620386.805789873
1999-12-01,0.0005530679764927971,0.9955496383361373,0.0009656653591363124,0.00017004897210756497,6.0134705741264843e-05,0.0016764134844983775,0.000273742061608043,0.00021266600213203064,4.480703905111674e-05,0.0004938160630949708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10844834.721812839
1999-12-02,0.0005658874569221656,0.9954590665450946,0.000973634215182509,0.0001739620443105512,6.072775594280228e-05,0.0017152795944295049,0.0002831471152419959,0.00021476332037562883,4.519112011075318e-05,0.0005083408323893598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11749757.974311547
1999-12-03,0.0005658874569221656,0.9954590665450946,0.000973634215182509,0.0001739620443105512,6.072775594280228e-05,0.0017152795944295049,0.0002831471152419959,0.00021476332037562883,4.519112011075318e-05,0.0005083408323893598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11345900.364673939
1999-12-06,0.0005680276294516785,0.9954267896209009,0.0009786171290223232,0.0001750221916506248,6.098062080840075e-05,0.001724388728320295,0.000283569110365964,0.00021532900576312747,4.533180810585013e-05,0.0005219441556107288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11537471.516962226
1999-12-07,0.0005680276294516785,0.9954267896209009,0.0009786171290223232,0.0001750221916506248,6.098062080840075e-05,0.001724388728320295,0.000283569110365964,0.00021532900576312747,4.533180810585013e-05,0.0005219441556107288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11437196.648368016
1999-12-08,0.0005680276294516785,0.9954267896209009,0.0009786171290223232,0.0001750221916506248,6.098062080840075e-05,0.001724388728320295,0.000283569110365964,0.00021532900576312747,4.533180810585013e-05,0.0005219441556107288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10578389.415478336
1999-12-09,0.0005680276294516785,0.9954267896209009,0.0009786171290223232,0.0001750221916506248,6.098062080840075e-05,0.001724388728320295,0.000283569110365964,0.00021532900576312747,4.533180810585013e-05,0.0005219441556107288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10375677.924408475
1999-12-10,0.0005680276294516785,0.9954267896209009,0.0009786171290223232,0.0001750221916506248,6.098062080840075e-05,0.001724388728320295,0.000283569110365964,0.00021532900576312747,4.533180810585013e-05,0.0005219441556107288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10036599.944867264
1999-12-13,0.0005732251705483293,0.9953906793319538,0.000973747954217784,0.00017558576634860843,6.119075065960754e-05,0.0017365009014890507,0.0002893035593708071,0.00021763286269718964,4.517700296280596e-05,0.0005369566997521128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10080651.035369484
1999-12-14,0.0005732251705483293,0.9953906793319538,0.000973747954217784,0.00017558576634860843,6.119075065960754e-05,0.0017365009014890507,0.0002893035593708071,0.00021763286269718964,4.517700296280596e-05,0.0005369566997521128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10081161.343905013
1999-12-15,0.0005699039104255447,0.9954173799234486,0.0009652249958361164,0.0001781448878373684,6.0896681472154085e-05,0.0017217259181783382,0.0002871990309254967,0.00021750295751005367,4.605044453999524e-05,0.0005359712498261556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10508642.36896771
1999-12-16,0.0005632911068663631,0.9955275171398988,0.0009303009982089895,0.00017079667932300968,5.960740497741019e-05,0.0016763602097715135,0.0002811129221016533,0.0002128937961746265,4.581285567329224e-05,0.0005323068870044309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10576499.18411018
1999-12-17,0.000555820492320383,0.9955707350481326,0.0009224618217030384,0.0001697013493510565,5.944114388453434e-05,0.0016682418187670973,0.0002721429942265053,0.00021104589288379927,4.503055744072306e-05,0.0005253788812898176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11074430.919881651
1999-12-20,0.0005560277533999222,0.9955505488521976,0.0009238947039968209,0.00016924676234614542,5.932322454545049e-05,0.001675271126255581,0.0002720543464910422,0.0002106894928310421,4.514932098093676e-05,0.0005377944169555136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11300417.692456027
1999-12-21,0.0005618605766031472,0.9954813787979538,0.0009316246002949437,0.00016947403375388548,6.040051222626472e-05,0.001706404346133004,0.00027780950954232127,0.00021085192329478702,4.568032149158228e-05,0.0005545153787063136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11484086.299593382
1999-12-22,0.0005618605766031472,0.9954813787979538,0.0009316246002949437,0.00016947403375388548,6.040051222626472e-05,0.001706404346133004,0.00027780950954232127,0.00021085192329478702,4.568032149158228e-05,0.0005545153787063136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11349943.621131452
1999-12-23,0.000547616332467906,0.9955662822290824,0.0009112762767025546,0.00016777569851731937,5.909819607694656e-05,0.0016887454796225268,0.0002689912820659165,0.00020593833106229985,4.4629070318686925e-05,0.0005396471040837262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11508104.288643902
1999-12-27,0.000556230570828281,0.9955337939396278,0.0009222275530817996,0.00016845799794562466,5.991872896224018e-05,0.0016762881395763793,0.00027908401860876717,0.0002102463317644614,4.5353230969045116e-05,0.0005483994886357267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12639723.75209808
1999-12-28,0.000556230570828281,0.9955337939396278,0.0009222275530817996,0.00016845799794562466,5.991872896224018e-05,0.0016762881395763793,0.00027908401860876717,0.0002102463317644614,4.5353230969045116e-05,0.0005483994886357267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12478783.86249836
1999-12-29,0.0005460356834493515,0.9955879316035273,0.0008962604134838373,0.0001670242297540523,5.9093415583267016e-05,0.001684845184188422,0.0002710178064855974,0.00021221702855746857,4.4677085816751904e-05,0.0005308975491538073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12715696.518704467
1999-12-30,0.0005586835591412788,0.9954704727337794,0.0009258420865056818,0.00016759291702224584,6.080958076881955e-05,0.0017354496872411965,0.0002736035446064494,0.00021859098942358818,4.628407264514043e-05,0.0005426708288664236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12886033.634814342
1999-12-31,0.0005586835591412788,0.9954704727337794,0.0009258420865056818,0.00016759291702224584,6.080958076881955e-05,0.0017354496872411965,0.0002736035446064494,0.00021859098942358818,4.628407264514043e-05,0.0005426708288664236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12592307.35112068
2000-01-03,0.0005783980512583113,0.9953879396829062,0.0009347457736290644,0.00016755450691485345,6.235055729682601e-05,0.001769154220815302,0.0002767674682067059,0.00022413030707183905,4.681977933721299e-05,0.0005521396525639534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12707741.897925599
2000-01-04,0.0005783980512583113,0.9953879396829062,0.0009347457736290644,0.00016755450691485345,6.235055729682601e-05,0.001769154220815302,0.0002767674682067059,0.00022413030707183905,4.681977933721299e-05,0.0005521396525639534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12118903.520298835
2000-01-05,0.0005783980512583113,0.9953879396829062,0.0009347457736290644,0.00016755450691485345,6.235055729682601e-05,0.001769154220815302,0.0002767674682067059,0.00022413030707183905,4.681977933721299e-05,0.0005521396525639534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11101058.582841542
2000-01-06,0.0005895354193739736,0.9953779957494512,0.0009457755370344117,0.00016777986829743716,6.277890862915284e-05,0.0017493495728149267,0.0002732689498571478,0.00022555884082061533,4.7932075327842706e-05,0.0005600250783935393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11429168.110742388
2000-01-07,0.0005895354193739736,0.9953779957494512,0.0009457755370344117,0.00016777986829743716,6.277890862915284e-05,0.0017493495728149267,0.0002732689498571478,0.00022555884082061533,4.7932075327842706e-05,0.0005600250783935393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11167552.428229416
2000-01-10,0.0005895354193739736,0.9953779957494512,0.0009457755370344117,0.00016777986829743716,6.277890862915284e-05,0.0017493495728149267,0.0002732689498571478,0.00022555884082061533,4.7932075327842706e-05,0.0005600250783935393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10988557.550683934
2000-01-11,0.0005980897531036513,0.9953263823371254,0.0009587691758187333,0.00017015017256543854,6.287126325441493e-05,0.0017639622297245148,0.0002714938977749417,0.00022979077535444954,4.81855722719067e-05,0.0005703048230065843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11125455.317895716
2000-01-12,0.0005980897531036513,0.9953263823371254,0.0009587691758187333,0.00017015017256543854,6.287126325441493e-05,0.0017639622297245148,0.0002714938977749417,0.00022979077535444954,4.81855722719067e-05,0.0005703048230065843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10604434.78582638
2000-01-13,0.0005980897531036513,0.9953263823371254,0.0009587691758187333,0.00017015017256543854,6.287126325441493e-05,0.0017639622297245148,0.0002714938977749417,0.00022979077535444954,4.81855722719067e-05,0.0005703048230065843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10378389.917571325
2000-01-14,0.0005970523620689313,0.9953413477714705,0.0009507427718879005,0.00016835171399586784,6.203833393190333e-05,0.0017545560633470654,0.0002700170546760274,0.00022796548185236796,4.8112523815880485e-05,0.0005798159229534653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10787109.250726147
2000-01-18,0.0005929948285125972,0.9953381374407516,0.0009545514270674126,0.0001664243100097,6.211094440015975e-05,0.0017578515936902109,0.00026893926758216443,0.0002275896780466283,4.912899780267648e-05,0.0005822715121364803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11421928.279880201
2000-01-19,0.0005929948285125972,0.9953381374407516,0.0009545514270674126,0.0001664243100097,6.211094440015975e-05,0.0017578515936902109,0.00026893926758216443,0.0002275896780466283,4.912899780267648e-05,0.0005822715121364803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11027785.495644093
2000-01-20,0.0005674402421582355,0.9954364584421711,0.0009426794449569469,0.0001605578253032199,6.038132365254549e-05,0.0017163922324469271,0.00026267842908045863,0.0002217324761499788,4.787959955980278e-05,0.0005837999845207115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11447261.64502601
