,AMD,CELG,RMD,ARNC,M,NVDA,XLNX,FCX,NKTR,LRCX,LYFT,UBER,SFIX,CRM,SQ,BYND,PINS,SPOT,Values
1999-12-03,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0
1999-12-10,0.10182002374332359,0.10300175604345184,0.09811390522889492,0.10200158486815254,0.09967196037259989,0.097991351397062,0.09826580243017331,0.0965455636926546,0.09963882292204305,0.10294922930164445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0
1999-12-17,0.09867307600806544,0.09783799643040454,0.10285455710319061,0.10482935502198469,0.10139266820852959,0.0974514477075684,0.09575526819156964,0.09680131253871531,0.10096547091305312,0.1034388478769187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10500929.280619692
1999-12-23,0.09867307600806544,0.09783799643040454,0.10285455710319061,0.10482935502198469,0.10139266820852959,0.0974514477075684,0.09575526819156964,0.09680131253871531,0.10096547091305312,0.1034388478769187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10434076.766328407
1999-12-31,0.09715117768861456,0.09870787870907675,0.10179735922902365,0.10357809807873766,0.10008171060838782,0.10104184258453272,0.09615700165007897,0.09465096223326795,0.10110497445377335,0.10572899476450666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10942157.47496983
2000-01-07,0.0976947351011935,0.09878896316590775,0.10218486007072301,0.10416956013572407,0.10038941847047853,0.10103406571491329,0.09111497677764475,0.0973016096137403,0.10102891220299932,0.10629289874667555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11756264.148571068
2000-01-14,0.0976947351011935,0.09878896316590775,0.10218486007072301,0.10416956013572407,0.10038941847047853,0.10103406571491329,0.09111497677764475,0.0973016096137403,0.10102891220299932,0.10629289874667555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11733326.812894363
2000-01-21,0.0976947351011935,0.09878896316590775,0.10218486007072301,0.10416956013572407,0.10038941847047853,0.10103406571491329,0.09111497677764475,0.0973016096137403,0.10102891220299932,0.10629289874667555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11570495.140856184
2000-01-28,0.09555808518359706,0.09891106925944332,0.10665454121221539,0.10211350737807987,0.09841576966228704,0.10092752428716238,0.09004838050321734,0.0958583777735251,0.10333842696539888,0.10817431777507387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12356652.676175313
2000-02-04,0.0966544934214139,0.10405852816383639,0.10372094987084986,0.10259051465613779,0.09938489302878283,0.09831915275439576,0.08986914507111184,0.0966766989583291,0.10238011596906169,0.10634550810608098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12892152.120240837
