,AMD,CELG,RMD,ARNC,M,NVDA,XLNX,FCX,NKTR,LRCX,LYFT,UBER,SFIX,CRM,SQ,BYND,PINS,SPOT,Values
1999-12-03,0.0005627787148828634,0.992028737236811,0.0009600688861460967,0.00017326635418346803,6.088869490670837e-05,0.0016699884566121937,0.00028283691552071513,0.000211505506721671,4.531400355552841e-05,0.0005127690686871136,0.00018368626762691883,0.0006354306077409397,2.9673451605922636e-05,0.0017696892599920262,0.00036475538916511704,6.041868684817847e-05,0.00013528152758601018,0.00031291097140760416,10000000.0
1999-12-10,0.0005874847301525894,0.9915779040861814,0.001037127215673283,0.00018818239379051166,6.485133128174758e-05,0.001758653422164908,0.00028655074264080584,0.00022315687366040014,4.80002887034612e-05,0.0005438847317226675,0.00019380513469047572,0.0006704350636042666,3.130809591546392e-05,0.0018671774968483312,0.00038484895054758425,6.374701763887824e-05,0.00014273388541048335,0.0003301485393723092,11156015.878582522
1999-12-17,0.0005874847301525894,0.9915779040861814,0.001037127215673283,0.00018818239379051166,6.485133128174758e-05,0.001758653422164908,0.00028655074264080584,0.00022315687366040014,4.80002887034612e-05,0.0005438847317226675,0.00019380513469047572,0.0006704350636042666,3.130809591546392e-05,0.0018671774968483312,0.00038484895054758425,6.374701763887824e-05,0.00014273388541048335,0.0003301485393723092,9713467.167531667
1999-12-23,0.0005765869724868835,0.9916509556954174,0.0010198595694301653,0.00018545550148898755,6.378243444770427e-05,0.0017724828188073157,0.0002870011327695139,0.00021855119859383787,4.7565979384501785e-05,0.000561895973490099,0.00019021007717863586,0.0006579985891245747,3.0727335216930046e-05,0.001832541621505278,0.00037771005759307377,6.256451958491259e-05,0.00014008619226366052,0.00032402433121658114,10848598.73167948
1999-12-31,0.0005765929125177062,0.9916648799131637,0.0010203946924096788,0.0001863210689361097,6.387187604078485e-05,0.0017708258485356382,0.0002717774100661149,0.00021954390520548896,4.750761733852781e-05,0.0005639557687182778,0.0001901293959740839,0.00065771948656833,3.071430163608751e-05,0.0018317643142899732,0.0003775498447228094,6.253798165970275e-05,0.00014002677205364548,0.0003238868901633285,12089612.644688006
2000-01-07,0.000617518626867033,0.9912880124040274,0.0010680267954921855,0.00019869352822253104,6.76173905937146e-05,0.0018097712764295639,0.00028257696975999435,0.0002297068676066175,5.10447142463525e-05,0.0005733131847400967,0.00020061813641313985,0.0006940034548678175,3.240869684508352e-05,0.0019328160235203107,0.0003983778829323412,6.598797240863708e-05,0.00014775153475572516,0.0003417545402714645,12110601.552524013
2000-01-14,0.000617518626867033,0.9912880124040274,0.0010680267954921855,0.00019869352822253104,6.76173905937146e-05,0.0018097712764295639,0.00028257696975999435,0.0002297068676066175,5.10447142463525e-05,0.0005733131847400967,0.00020061813641313985,0.0006940034548678175,3.240869684508352e-05,0.0019328160235203107,0.0003983778829323412,6.598797240863708e-05,0.00014775153475572516,0.0003417545402714645,10434663.845682684
2000-01-21,0.0006059684933506755,0.9912914868305377,0.0011140567526924953,0.00019220532739194906,6.61033557125199e-05,0.00179541425767771,0.0002783335098481751,0.00022684282832781906,5.324411351121581e-05,0.0005972047062919463,0.00019879916154137163,0.0006877110285304237,3.211485200013609e-05,0.0019152914674587674,0.0003947658497857972,6.5389669255212e-05,0.00014641189351595013,0.00033865590257010377,10804912.515658764
2000-01-28,0.0005923228406481175,0.9915548242650735,0.0010656493532025693,0.000185696905317436,6.453339534411328e-05,0.0017248599754235133,0.0002701808154391746,0.00022225861545754013,5.120921469317129e-05,0.0005558127297847298,0.00019530160750734954,0.0006756118503275141,3.1549842423162985e-05,0.001881594970218036,0.00038782057456578507,6.423924236350027e-05,0.00014383600987124493,0.00033269779233967924,11299717.844334526
2000-02-04,0.0005680255127209237,0.9918921510705315,0.001042145333069245,0.0001770167399723043,6.10632855823883e-05,0.0016526932988111928,0.00026735746196214906,0.00021194209181466257,4.996253371514969e-05,0.0005494593557915645,0.00018559775968445542,0.0006420430811473864,2.9982242065858493e-05,0.0017881051547047064,0.00036855113850631937,6.10474210563973e-05,0.00013668930601633513,0.0003161672128473646,12267266.357668871
